FOREIGN TRAVEL FOR LEEDS CITY COUNCIL (April 18 to March 19)     ALL COSTS IN GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Teacher,Chemnitz,Germany,22.08.18,29.08.18,7 nights/8 days,To accompany an exchange of the music group Roots Alive,economy,0,209.7,0,336.12,0,0,0,0,545.82,0,545.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cllr Judith Blake,Leader of the Council,"Hangzhou, Qingdao",China,05.09.18,11.09.18,6 nights/7 days,To participate in an inward investment mission,economy,1598.9,0,452.73,0,41.59,0,49.55,0,2142.77,2142.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Farrington,Director of City Development,"Hangzhou, Qingdao, Hong Kong",China,05.09.18,13.09.18,8 nights/9 days,To participate in an inward investment mission,economy,1115.21,0,615.23,0,13.5,0,112.24,0,1856.18,1856.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Inward Investment Manager,"Hangzhou, Qingdao, Hong Kong",China,05.09.18,13.09.18,8 nights/9 days,To participate in an inward investment mission,economy,1115.21,0,615.23,0,13.5,0,112.24,0,1856.18,1856.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,International Relations Manager,"Hangzhou, Qingdao, Hong Kong",China,05.09.18,13.09.18,8 nights/9 days,To participate in an inward investment mission,economy,1115.21,0,615.23,0,7.64,0,112.24,0,1850.32,1850.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,06.09.18,06.09.18,0 nights/1 day,To carry out social care work,economy,222.98,0,0,0,78.59,0,35.2,0,336.77,336.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Independent Reviewing Officer,Cork,Ireland,06.09.18,06.09.18,0 nights/1 day,To carry out social care work,economy,181.78,0,0,0,78.59,0,35.2,0,295.57,295.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Programme Project Co-ordinator,Warsaw,Poland,16.09.18,20.09.18,4 nights/5 days,To carry out British Council supported curatorial research ,economy,0,50.38,0,515.86,0,0,0,360,926.24,0,926.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Development Officer ,Santiago de Compostella,Spain,17.09.18,21.09.18,3 nights/4 days,Activage project plenary meeting ,economy,0,167,0,364.52,0,100,0,100,731.52,0,731.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,19.09.18,20.09.18,1 night/2 days,To carry out social care work,economy,330.98,0,181.76,0,0,0,70.4,0,583.14,583.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Advanced Practitioner,Cork,Ireland,19.09.18,20.09.18,1 night/2 days,To carry out social care work,economy,330.98,0,181.76,0,0,0,70.4,0,583.14,583.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Arts Development Manager,Cascais,Portugal,21.09.18,23.09.18,2 nights/3 days,To meet partners of Light Night at the Lumina Light Festival,budget,0,343.18,0,0,0,0,0,13.73,356.91,0,356.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sue Rumbold,Chief Officer Partnerships and Health,Vienna,Austria,24.09.18,26.09.18,2 nights/3 days,To attend Child in the City World Conference in Vienna as a speaker,economy,366.9,0,239.04,0,76.17,0,0,0,682.11,682.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Project Support Officer,Terrassa,Spain,26.09.18,30.09.18,4 nights/5 days,To attend a UCLG Pilot Cities meeting,economy,0,121.54,0,260,0,24.51,0,39.36,445.41,0,445.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Traffic Engineer,Kufstein,Austria,28.09.18,01.10.18,3 nights/4 days,To research the WRRC in advance of hosting it in Leeds in 2019,economy,500.02,0,235.2,0,25.42,0,105.18,0,865.82,865.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Events Manager ,Kufstein,Austria,28.09.18,01.10.18,3 nights/4 days,To research the WRRC in advance of hosting it in Leeds in 2019,economy,318.68,0,235.2,0,25.42,0,91.3,0,670.6,670.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Policy and Performance Manager,Aveiro,Portugal,30.09.18,03.10.18,3 nights/4 days,To attend an ECC Candidate Cities Network meeting,economy,0,279.15,0,306,0,0,0,35.47,620.62,0,620.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,01.10.18,01.10.18,0 nights/1 day,To carry out social care work,economy,231.98,0,0,0,46.79,0,35.2,0,313.97,313.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Advanced Practitioner,Cork,Ireland,01.10.18,01.10.18,0 nights/1 day,To carry out social care work,economy,231.98,0,0,0,46.79,0,35.2,0,313.97,313.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Paynes,11-19 Leadership and Management Lead,Riga,Latvia,03.10.18,06.10.18,3 nights/4 days,To attend a conference as part of an ongoing Erasmus+ project,economy,0,172.99,0,113.15,0,41.88,0,69.13,397.15,0,397.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Service Improvement Officer,Riga,Latvia,03.10.18,07.10.18,4 nights/5 days,To attend a conference as part of an ongoing Erasmus+ project,economy,0,327.1,0,169.73,0,41.88,0,212.77,751.48,0,751.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Librarian Manager,Brussels,Belgium,10.10.18,12.10.18,2 nights/3 days,Training for delivery of Europe Direct Information Service,economy,0,206,0,270,15.74,0,0,0,491.74,15.74,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,International Relations Manager,Grenoble ,France,16.10.18,19.10.18,3 nights/4 days,To attend the Eurocities Economic Development Forum,economy,262.86,0,224.86,0,11.57,0,36.46,0,535.75,535.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluny Macpherson,Chief Officer Culture and Sport,Lisbon,Portugal,17.10.18,19.10.18,2 nights/3 days,To attend the Eurocities Culture Forum,economy,0,337.18,0,279.3,0,31.52,0,51.21,699.21,0,699.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mick Ward,Chief Officer Transformation & Innovation,St Helier,Jersey,17.10.18,20.10.18,3 nights/4 days, RIPFA training,economy,0,188.23,0,160,0,0,0,0,348.23,0,348.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Visitor Economy Manager ,Dublin,Ireland,22.10.18,23.10.18,1 night/2 days,Partnership meetings with Ryanair,economy,0,100,136.51,0,10.32,0,50.3616,0,297.1916,197.1916,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Marketing and communications business partner ,Dublin,Ireland,22.10.18,23.10.18,1 night/2 days,Partnership meetings with Ryanair,economy,0,100,136.51,0,10.32,0,50.3616,0,297.1916,197.1916,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Riordan,Chief Executive Officer,Boston,USA,27.10.18,31.10.18,4 nights/5 days,To participate in a REAP training course at MIT,economy,367.41,0,0,0,0,0,0,0,367.41,367.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Arts Development Manager,Eindhoven,The Netherlands,09.11.18,12.11.18,3 nights/4 days,To attend Glow festival and conference,budget,0,109,0,187.1,0,7.05,0,82,385.15,0,385.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Data and Innovation Officer,Barcelona,Spain,12.11.18,15.11.18,3 nights/4 days,Attend the Smart Cities conference with the Leeds City Region delegation.,budget,113,0,164.41,0,13,0,150,0,440.41,440.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Data and Innovation Manager,Barcelona,Spain,12.11.18,15.11.18,3 nights/4 days,Attend the Smart Cities conference with the Leeds City Region delegation.,budget,113,0,164.41,0,13,0,150,0,440.41,440.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Arts Project Officer,Eindhoven,The Netherlands,14.11.18,16.11.18,2 nights/3 days,"Attending festival event, meeting with organisers and other LUTN network partners",budget,0,30.93,0,155.1,0,0,0,120.16,306.19,0,306.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,14.11.18,14.11.18,0 nights/1 day,To carry out social care work,economy,132.98,0,0,0,242.92,0,35.2,0,411.1,411.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,International Relations Manager,Lille,France,15.11.18,17.11.18,3 days 2 nights,50th anniversary celebration and Mayor's summit,rail economy,173,0,0,120,0,0,13.68,0,306.68,186.68,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cllr Judith Blake,Leader of the Council,Lille,France,16.11.18,17.11.18,1 day 1 night,50th anniversary celebration and Mayor's summit,rail economy,235,0,0,170,22.44,0,0,0,427.44,257.44,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,"Producer, Leeds Young Film Festival",Lille,France,18.11.18,24.11.18,4 nights/5 days,To represent LYFF at Lille Young film fest,rail economy,179,0,462,0,13.31,0,67.17,0,721.48,721.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Advanced Health Improvement Practitioner,"Hangzhou, Xi'an",China,24.11.18,28.11.18,4 nights/5 days,To deliver workshops on child obesity,economy,0,497.4,0,250.84,40.2,60.95,53.57,35.88,938.84,93.77,845.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Policy and Research Manager,Brussels,Belgium,26.11.18,27.11.18,1 night/2 days,Conference,rail economy,0,238.5,0,128.77,0,12.75,0,32.75,412.77,0,412.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Data Officer,Brussels,Belgium,26.11.18,27.11.18,1 night/2 days,Conference,rail economy,0,238.5,0,136.07,0,36.17,0,22.41,433.15,0,433.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Business Development Manager,Barcelona,Spain,26.11.18,30.11.18,4 nights/5 days,To exhibit at IBTM World Barcelona with Visit Britain,economy,177.54,0,299.4,0,34.3,0,101.81,0,613.05,613.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Regional Asylum & Refugee Integrate Mgr,Strasbourg,France,03.12.18,06.12.18,3 nights/4 days,Seminar on youth work with young refugees,economy,0,218.03,0,100,0,41.89,0,43.06,402.98,0,402.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Policy and Research Officer,Strasbourg,France,03.12.18,06.12.18,3 nights/4 days,Seminar on youth work with young refugees,economy,0,218.03,0,100,0,41.89,0,43.06,402.98,0,402.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Project Officer,Vienna,Austria,03.12.18,07.12.18,4 nights/5 days,Taking part in an ICT exhibition for EU funded project,economy,222.22,0,465.58,0,60.808,0,80.4796,0,829.0876,829.0876,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Projects Curator,Singapore,Singapore,04.12.18,09.12.18,5 nights/6 days,Speaking at a conference,economy,0,561,499.13,0,38.27509,0,73.12256,0,1171.52765,610.52765,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Arts Project Officer,Lyon,France,06.12.18,08.12.18,2 nights/3 days,"Attending festival event, meeting with organisers and presenting at LUCI conference",budget,0,171.31,0,174.05,0,32,22.81,97.95,498.12,22.81,475.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Arts Development Manager,Lyon,France,06.12.19,08.12.18,2 nights/3 days,Conference and attend Fête des Lumières,budget,0,237.51,0,174.05,0,44.376,0,70.262,526.198,0,526.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Business Development Manager,Paris,France,09.12.18,12.12.18,3 nights/4 days,Visit Britain sales mission,economy,217.08,0,282.65,0,91.61,0,90.71,0,682.05,682.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Policy and Performance Manager,Debrecen,Hungary,09.12.18,11.12.18,2 nights/3 days,To meet with pubic sector bodies - European Capital of Culture,budget,0,235.63,0,118,0,0,0,21.35,374.98,0,374.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,07.01.19,08.01.19,1 night/2 days,To carry out social care work,economy,178.29,0,68.49,0,0,0,70.4,0,317.18,317.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,07.01.19,08.01.19,1 night/2 days,To carry out social care work,economy,178.29,0,68.49,0,0,0,70.4,0,317.18,317.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Arts Project Officer,Amsterdam,The Netherlands,14.01.19,16.01.19,2 nights/3 days,"Attending festival event, meeting with organisers and other LUTN network partners",budget,0,90.06,0,92.57,0,30.48,0,102.6,315.71,0,315.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Production Co-ordinator,Amsterdam,The Netherlands,14.01.19,16.01.19,2 nights/3 days,"Attending festival event, meeting with organisers and other LUTN network partners",budget,0,90.06,0,92.57,0,30.48,0,102.6,315.71,0,315.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Production Co-ordinator,Amsterdam,The Netherlands,14.01.19,16.01.19,2 nights/3 days,"Attending festival event, meeting with organisers and other LUTN network partners",budget,0,90.06,0,92.57,0,30.48,0,102.6,315.71,0,315.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Policy and Research Officer,Brussels,Belgium,24.01.19,25.01.19,1 night/2 days,Attending conference,economy,0,177.55,0,89,0,0,0,13.01,279.56,0,279.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Business Development Manager,Brussels/Amsterdam,Belgium/The Netherlands,29.01.19,02.02.19,4 nights/5 days,Sales Mission,economy,207.18,0,251.69,0,25.33,0,33.93,0,518.13,518.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,07.02.19,07.02.19,0 nights/1 day,Social work visit,economy,105.98,0,0,0,0,0,35.2,0,141.18,141.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
